,UserID,Balance,CurrentSkin,RoomID,Pass
0,00021ae5,-500,1,0,F7oS!mcFR
1,0006db09,-500,1,1,"T,(wk8{z1"
2,001af494,600,2,2,`]gTC?j:
3,00394ea7,-500,1,3,e#AX%ZvL\r{{g
4,004afe29,-500,4,0,r'q2Ak<@fP
5,004ec8a3,-500,4,1,P^|L.X^xf
6,005dfb56,-500,4,2,"VZO5J\';6""xZ%"
7,0094067f,-500,1,3,a@S(Rv$vTv0ud
8,00a32e13,-500,1,0,">VXcl[*B^("",g="
9,00b16c72,-500,1,1,E\kLv:0Wj
10,01021a5d,-150,1,2,.ShRHrz\3NH
11,010f4c6c,1000,0,3,".z^(P""madE."
12,0123db1b,-30,1,0,cTA036FZ_{Dxk
13,01258f1e,-500,1,1,{Bsg!)\xg%$dz
14,014052f8,790,2,2,IH3+xq}]
15,014c53f3,-500,1,3,")1O""E]6hz[O*{g"
16,015e3839,-500,1,,sJu_X}S'
17,015faf16,-500,1,,EBPC?NGo?C
18,0189d1e7,-500,1,,sIxO$mnb;
19,01cc3829,-500,2,,Ij_3`SwEXXe
20,01ce2a9d,-500,1,,b'd$~2v~P
21,01da4d1d,-500,1,,"`,myL4c~k&o"
22,01db96ac,70,3,,"kBZ7:u,v"
23,01e84fb3,-500,1,,^mm>D}f5%1$'
24,01eb8dfe,-500,1,,;'\.t.DGvjkt_%
25,01f3cb4c,1000,2,,{<z2<o8x0
26,02104ff7,-500,1,,2BrO*q08f'z
27,0217df8d,-500,1,,"W""$M)8[N"
28,02250a4b,-600,1,,"""y*WSXi:J=-c)"
29,022fd959,-215,1,,"p""wX`,X~Q4y<!"
30,02359c31,-40,1,,|)U^_6v8^>d
31,02476060,225,1,,"s^""[R:;v%cT"
32,0252d257,-500,1,,Mj9B}:Ub
33,029cdd26,-500,3,,s'oSWHOTIfD_
34,02c24a3f,-500,3,,"u:A-l=`"".Z"
35,02d8d7e2,-500,3,,"h&>z""OP<3-dA"
36,02d99064,490,4,,f4A9%e}lu}B
37,02efc4cd,-500,1,,"5z<OCG""pXr$v{"
38,02fd7ce1,-500,1,,f\w!xZIvfXgj}
39,0320074e,-500,1,,:2gWg2eM
40,0325a453,-500,4,,#4\{3/N}-U
41,032e3e45,-500,1,,2F}nWk$A9bye
42,03406ac3,-500,4,,"]/},""\UNmp"
43,03707f55,1000,4,,C(G##zmv:5<-jH
44,038198a4,-500,4,,ru[D(2#m/
45,0383c567,1000,1,,XBGb62F1go(a
46,03c63f78,-10,1,,"Lil>""tO7E{QNg{"
47,03c7c548,-1000,1,,Lq~oW*i{kAgZ
48,03eb2637,-520,1,,"nqp%,{$_s"
49,03f6efed,-80,1,,no']pb]?rUj
50,03ff7f2c,-500,4,,"""[dD+n5sI"
51,0415ca45,1000,1,,"`ln,O}9Oq"
52,043c896b,1000,1,,_olU](EA
53,044ebfb7,1000,1,,vjSaAxmZVEQ>VZ
54,0450d8ba,1000,3,,*4hVr`-:
55,0466408f,1000,1,,]oZ|5IAJ!
56,04823aef,500,1,,"#aW:oGi@,\a"
57,048ae916,-500,1,,u]xptm:wKu^..^
58,049e195b,-500,1,,"\Y8/Z69r,'E1"
59,049efd42,1000,1,,"""TP7}M`+.@6"
60,04bc363a,20,2,,L]|4-[Pw=
61,04cf872d,600,3,,!dnYd!6X^u
62,04d781a3,510,3,,@hVHn^MV@mafB
63,04dbd3a7,605,1,,/aH]M'30%nC?|H
64,050854c3,-550,1,,X5'JTeHsy
65,0514c962,218,1,,"Mt""b^_nq"
66,051c58f6,-237,1,,D4IkfM*]MUH1B
67,0527f4fc,-500,2,,^(rB|->Ih'w
68,052d67e0,-500,0,,jEb^OVjaA!*
69,0577d600,-500,1,,R~9':jpz/[DX?
70,05860cbe,-500,1,,"BlY""pls{"
71,058b5fdc,-500,1,,bfzLB.e+C
72,05aad701,-60,0,,P~OU^(s6
73,05c5abb1,-500,1,,c+:INey2wAW[Dt
74,05cc7063,-500,1,,[fYL)yVi7WSL
75,05e3e0cd,1000,1,,"+L,!~Aj^"
76,05f53fe8,-500,4,,"h|G[jV*zBs"""
77,0612a8db,-500,1,,Z^AV:M.$MFy@vu
78,061eb8aa,-500,1,,?YD>omq5
79,061f1cc9,780,1,,lKPrAn`O
80,06262bc5,-500,1,,J@C<`Bj=M
81,062efda4,520,2,,3?t0NBqfdu
82,064f3e16,-40,3,,fe~?]{!%.
83,06573a36,430,1,,f&3FSXP]DoMC(G
84,065e08b2,-500,1,,r}x9[c4-#/jmy
85,065ee4f8,-500,1,,F%kWP>KG{`
86,0695f2fa,430,3,,y6>fz[GBkn
87,069b4431,-500,1,,~gLi6nsWB{
88,069d4647,-500,1,,"GZ-?:`,9"
89,06e47f18,-500,1,,0Fd}6k}?c
90,06e895fa,-175,1,,]e/W^V7U-
91,06f47443,430,1,,"/p'""iX!i,b>H@q"
92,0706dba3,-500,1,,",VfXJ<X|r`1n$F"
93,071de82b,-500,1,,v89H)sQOROd#
94,0721e4ec,245,4,,k[m|6=W}L..-&
95,074cf29b,-500,3,,`Y9[._C3TBJ{
96,07601d63,-500,1,,-LPQuV>7|v
97,0766c158,1000,1,,K0V(~D~x
98,07835988,-500,1,,"[4@\x""^<"
99,078ff65c,420,1,,K`LG7r-3b7]U
100,079236c4,-500,1,,ISf^CQJC$Ner2
101,07bbc59a,-500,1,,pIQGnROh9
102,07c2db35,600,1,,Dx'EfyB%g9{c
103,07e00b6d,-500,1,,G8F%Z{iLQ
104,07e4362e,540,1,,"=up,z^0)Xn=U"
105,081db0ae,-500,1,,YP_xZSe*pJQsf
106,0828732b,-500,1,,{d)\BeC=3y?
107,0836e5d5,-500,1,,rVE9:hM>6
108,083be205,-500,4,,c'/EmrxX|S
109,084d42f6,1000,1,,`#7;<&uhThV'\W
110,086544a9,-500,2,,g4^#wfLMz6lx0W
111,08664e25,1000,1,,`AQkPZ/+
112,08769da8,-500,2,,m)u$GyHijt/ay
113,08bc2304,-500,1,,eNBB>tqhS{
114,08ccb9e3,-500,4,,+k<L><B}]SM
115,08d367df,1000,2,,).~-AU}(g#
116,08e9717c,510,4,,HDo*c9#ath][oL
117,08fdabd9,1000,1,,LPM5[5-HPQ
118,091f20e6,-500,1,,ZqDmE]}^
119,094c7bf6,1000,2,,Yh#az/xm<74g8
120,09567f38,372,3,,")IO,`5Dx|H]C$"
121,095a8b6c,100,1,,"+-9:R@s}4;""Xv"
122,095afcb0,274,1,,K?.*a:6W0}k0:h
123,0970f629,-500,2,,~cH?iq+|OQ}<
124,097661bf,490,1,,_)s0jKUf
125,097a48a1,-500,4,,(xhn][y.;ZPzx:
126,0983e0d4,-500,1,,&%2>sLw7%A%
127,0997e384,-500,1,,"\""]rFq""X1{c"
128,09ac5e65,655,1,,}AP5Db47
129,09c28cc5,-500,2,,Qld&-y(VV!
130,09e07751,-500,1,,Y_%|bRs|hrt
131,09e61cd1,113,1,,"zGfU:f""^':"
132,0a1c207d,-500,2,,g4f{-AiB|M>6
133,0a2b8f45,1000,4,,"5""dPWi/XRct"
134,0a2c29bb,0,4,,hp5-D*+W5d>hnh
135,0a43f9e7,-65,1,,Bf?}D5ez=APep<
136,0a56dce4,1000,3,,W%H)-$j;Xv?r5w
137,0a5f40e0,270,1,,7088B^[6<?
138,0a6dfaf0,-500,1,,KS:Q<#18t2\_4
139,0a7f71eb,-500,1,,".cBSwdN""("
140,0a84ef2c,-500,3,,MHZim+T'U
141,0a9132c8,500,1,,"yHiiq!7,"
142,0a9d8e4a,2000,3,,"p>9Q;lsKX,BU."
143,0aa6336a,190,3,,Q*mxkhaz5tW5
144,0aae40cb,-500,1,,"Z#dok%.\1,b*H0"
145,0af32e41,-500,1,,"E_caR.e""*"
146,0b2ca9c6,-500,1,,"zx,k:@EbM}OJ8"
147,0b378481,-500,1,,r6$}beVfKn+JV
148,0b3e5b6f,1000,1,,%T']r>#3LX
149,0b42888f,-500,2,,"<4Z7O+ed!o6*""2"
150,0b437e62,-500,1,,O1Ce=]49$U
151,0b93abed,-500,1,,bnibm]L#
152,0bd141e1,-500,1,,STKEt^{oVP[
153,0bdd7b26,-500,1,,Y9noXK+*m3$Y
154,0becf361,-500,0,,y.jI/%.+8
155,0bf9035b,-500,3,,V$l{YB>1#K~7w5
156,0c1600a3,-500,1,,"xA}{u*>""2,"
157,0c66dfe5,-20,1,,",k%nm/aj~?Gd"
158,0c6c9f2a,530,2,,g4Pxelm|E]+RBG
159,0c925937,-450,3,,^kwtPXXV{K
160,0ca4cbc7,-500,1,,HLFqF2=-@
161,0ca77977,510,1,,ian#k7$Z
162,0cb1152b,28,1,,kQ%]07nTfH|=w
163,0cdaed69,190,1,,B~hnin*%h9Kr
164,0cf0b9a0,-1000,1,,'I83E(<F!v9#$g
165,0d2baef8,-500,1,,78*/vsBV'1^qX
166,0d334dfa,-500,1,,p4C{7]u|w@(;Y2
167,0d35c33f,-500,1,,g7]5<u5lbfk
168,0d5ef11c,-500,1,,k.x{=>6h
169,0d6c3b46,-500,1,,XM8La0i^-m*7O
170,0d8a3af1,1000,1,,"M;6?G"">,Q"
171,0d9229bd,355,1,,Ty`#Woop
172,0d96749f,-500,1,,L<j@4[JS)8U'
173,0dba2e0f,-240,1,,e)DT<JDM
174,0de88e14,-96,1,,"*<{&""\+y$)"
175,0df257c4,-500,1,,-n5C-:+[YfSzP
176,0dff9d53,-500,1,,+zv}m/M2\Uq
177,0e059656,1000,3,,"YY""Hmw""`P"
178,0e078806,-500,3,,"!c,f&i^rg$eb}"
179,0e3cfccc,1000,3,,IGEhZGmonkJ
180,0e43db15,-500,1,,6bc}jS_dD
181,0e4cf13a,-500,4,,T?|I{pyb(
182,0e55f089,-500,1,,0k8Gfb]@ShY
183,0e687310,-500,3,,OIrp5;jRl
184,0e94f262,-500,2,,"EH""w+u#xr*"
185,0ea9baed,1000,1,,.&4s9h?$j#ySpi
186,0ead09a2,-500,1,,z:Z;f9Y<
187,0eb72e05,-500,3,,JB:En29]:AyHaz
188,0edd0864,530,1,,z=}2sX@j)rI
189,0eecced4,-500,1,,tiW;b7n(C:
190,0ef40d8e,-500,1,,4&Y)uCwY{4r:
191,0ef9a86d,-1000,1,,l1[ZZ*naey
192,0f0569eb,-500,1,,"8;n""'L[(+[Ta"
193,0f0ff923,270,1,,"JaMzmBTS;j3,F"
194,0f1ef378,-500,1,,GK}N3y=E!:^w
195,0f35d18c,-500,1,,Nl2=_Ln&'cA
196,0f3837e0,1000,3,,13l?_xd_U1Y
197,0f407003,-500,1,,fqWwO*7_A\~
198,0f4346f6,165,3,,~j2`8ufn}~
199,0f4a8e9f,-500,1,,f1cBV/8sa3Z+
200,0f5d7790,-1000,1,,u($<J)5Zj'
201,0f632dc7,590,1,,B8h@pq9QT5
202,0f7df9ef,-500,1,,6INwV3x*[
203,0f8bad68,1000,1,,G-4Ia1iE=
204,0fa6de03,-500,1,,piAOuc8SSm(B
205,0fb69d5a,-500,1,,xLm`u\>o0EQ|6]
206,0fb73402,-500,1,,I7.<0yW}n%iA
207,0fbcb7e5,1000,1,,C^11D[@m0(%n
208,0fc08fa3,1593,1,,gW!Cp@$N!
209,0fc1cd09,-280,1,,"7'mB""R=W"
210,0fc61e39,-500,2,,(!Zruf#O}7r
211,10021fda,-500,1,,.-@7JjPr5
212,1003709c,-500,1,,6fpOQIS~
213,100dafe8,-80,1,,o@N3oE<l
214,1027cb35,190,1,,!K)$8L=Qmd
215,10a9cf30,480,3,,"""aFYwC{>"
216,10b19383,-500,1,,iBF055Avx3
217,10b89c4c,485,1,,{.M}/xS@hX}D$
218,11199eb0,-500,1,,"hRrnKZnPE""0"
219,1120c250,1000,1,,"{5T,&dZ}"
220,112307f1,-500,1,,T\@Re?)@H]Z1
221,1126c550,0,1,,",z_o5(E0k5jX}1"
222,112dd5ae,-500,1,,jLI<!l7UV@'7w0
223,11313f3b,0,1,,k*]&.fu!n6
224,1134b0ff,370,3,,%]}Y{FzLYa+4k
225,1138ab78,-253,1,,2DsSLY:b
226,11560081,-215,1,,YH+sZvNPN
227,1180b065,-10,1,,/B~}wGy%03
228,118c80f9,-500,2,,",>d_.B5]T"""
229,118d0a1b,1000,1,,}2@aasTbQU0-tX
230,11b4024b,-500,1,,"ErU}<,\`^"
231,11c714a4,-500,1,,&=Mc~a&1}
232,11e2e436,1000,1,,WlfikrXw&fE9h
233,11e8f2b7,715,1,,>nwpb'x$S
234,121de773,30,4,,jlS}V.ssJx4
235,1230e55b,-500,1,,vR(&Rs&|]h
236,1233aeda,1000,1,,"""uy;efv9MB#5iG"
237,1234ddd6,-140,1,,P)VbMg6!R*U(A
238,1238da1e,500,2,,'9Fxm^vj:Kc
239,12396845,500,1,,O8NvX[:42Bj
240,123daf8a,-500,1,,o1?arG4'Ycu
241,1252b605,-500,1,,"9!y}PFd?._?"""
242,125c439c,-500,1,,7K+q?kZh
243,1273811b,1000,1,,",KZKM`Y_l<)Vk"
244,12988eaa,1000,3,,kn\mDqy\8-Z
245,129cf74a,500,4,,"_^'A|YFU""Yz_"
246,12c2d9e3,240,4,,A@\j]p!%$KhG
247,12c9e70d,1000,2,,"xicYUOZ8/!+,"
248,12dfff42,-500,1,,~/5]bs1t
249,12ef7ccf,390,4,,"KMrQx,^p.tR`:"
250,1310c19c,-500,2,,",GUN6842D"
251,13446a6a,-500,3,,"YG@0""W?zfcH"
252,13571352,-500,4,,h0\}H7]&dJU
253,135f3d11,-500,1,,@x*s&i\>q-
254,136fb45d,-500,4,,Tl&h+cF6Px9|_#
255,137f87dd,-500,1,,vL($rFZOsn
256,13a7bb83,1000,1,,"""yj'*A14]rZ"
257,13b12496,-500,1,,0TLbGd&>mh
258,13c23dd5,-500,4,,\H$ze!yT
259,13e0d13a,675,1,,&<=%{R}]PxF(
260,13e34245,-113,1,,x3b6ri)A+%Zd
261,13e43321,-70,1,,UpmbXmDcN
262,13e53279,20,1,,(LWJyH2_WM5
263,13ee7492,1000,1,,",G,L,`xC,$Yp"
264,1404f662,-50,1,,2\9>^@/9
265,14152ced,1000,1,,yrNvz6TK*;{(R
266,141752c1,-500,1,,_jjPKqk+P{PL
267,143759a0,500,3,,RA{zk(u.<
268,1439dacd,1000,2,,Y2`'zGAI|ahRQ
269,145b54e0,-500,1,,4>$S@x.U'
270,1470461f,1000,1,,;d]H03Z8DZ*
271,148ca9ed,-500,1,,NgR$yWF6m\f>
272,14a03105,1000,1,,"ub&K,0hER$"""
273,14a72eef,-500,1,,Ra&BRwKO|>
274,14cdb773,-500,1,,n9&s75wifx2W
275,14e9f7ab,-500,1,,PvHKZQ]x+'[G
276,151b9c67,-500,1,,m9}54ag'
277,151fb3a5,-500,4,,/716OzP5x|I
278,15366b48,0,1,,"`ImcvD#,"
279,153877d3,65,1,,"i""5zyG.r"
280,1585815e,1000,2,,[LDR7nyg(&^>3
281,1588ce54,1000,2,,ZnBF#uW}l
282,158e724b,50,1,,Y)?%<(c`g*
283,15a9349f,-500,4,,=E#~[4Xq
284,15abe96f,-500,1,,ZAnQ]FAti
285,15c112df,-500,4,,wkl\L&h+d
286,15e630a7,-500,1,,FC.)0(\uw4
287,15f577ae,140,1,,I;\+*VUXV!vQ
288,15fa72f6,-500,3,,"H#8V272-,5f&%`"
289,16129c43,-500,1,,@]>OnjdV6)FD
290,16303020,0,4,,%k[@nK>]
291,1630baaa,-500,4,,GbfNDAo$2emcU[
292,1647fcd1,-500,1,,E%'r5\Uq<
293,166a727b,-500,1,,x'4o8!=H<aR)'
294,16758607,-500,1,,>K2E=^Dg/H
295,16821774,-500,3,,g7NxU>?s
296,16982115,-500,1,,JQA{[aYZwonMy
297,169dd1b0,-500,1,,`v8lLXVr
298,16b1b577,-500,1,,w/;f4K?Nf2oJuN
299,16b97ef1,500,1,,"c~#WN""_:K"
300,16bc564a,670,1,,mIhY[h2%#
301,16d3368f,-170,1,,";oi2o""n)v5nv"
302,16d8d8cc,-500,2,,E7kr!Irhg
303,16ff6be6,1000,1,,F\_*lz3F@
304,17090ac7,-500,2,,ZE!/`Nq:c
305,17133418,-500,1,,Eqj7[DG1x;M
306,17180e86,-180,1,,>mVG|]ufkO%
307,171c67f5,-500,1,,"<,WKZ)W\v5hr"
308,173af438,0,1,,$/z>sMX'>
309,1745950d,-500,1,,L]Ala@HH$
310,175857b8,1000,1,,0D|JLBC'BI
311,17786a23,-500,3,,}8OM&#)Tc+td
312,17c7871b,-500,1,,"MZ8e,&}0iO\5'"
313,18023b14,1000,1,,2I(634hJ{
314,18307fd0,500,1,,`T]#'3H}x
315,186e7d01,1000,1,,`Hp5hI?c
316,186f2d52,-500,1,,l1xSw?Z2'
317,18b3567a,10,1,,B})<H{{pE:m&8
318,18fddf65,170,1,,6)&CAw`^7and-f
319,194f41d5,800,1,,1-N7l73`FvI8
320,1973b70c,-1000,2,,"|{<LT]$kQb""$"
321,19880229,-500,1,,X)e.6SBDY
322,198977e4,-500,1,,7GfOM?40
323,198cc549,-500,1,,|hsBu[SxOj=
324,19921365,460,1,,2EC3'f9*&\
325,1995f449,-500,4,,"GaGg,Y>BCpqH"
326,199f0374,-500,1,,"J|.=V,qNIc??C("
327,19a3d61d,-500,1,,"Wlqh;w""L`0`em-"
328,19d1a00d,-500,1,,"aL#rdWO#rC,"
329,19ddc755,753,2,,p'bDAP&%o@7Z2
330,19ecaf2b,1000,1,,?^s-pg7m~
331,19f4df3c,550,1,,12ig<a!j5h+<NO
332,19f5ae79,550,1,,f$M};9CDE7wLb
333,1a20faee,590,1,,B3Z%jkO7KoK#WV
334,1a28c4b7,-500,2,,UA<>Ag^7@$Sjm
335,1a2a3b9a,1510,1,,+\r89O}P
336,1a344fd1,-500,1,,"^d,16]X)jr"
337,1a4d19cc,-500,1,,DJ:Y|o9hXR_YeO
338,1a66720c,1000,4,,uEwebtxJNn/U
339,1a9e95d4,1000,1,,.agveH(3)#\H
340,1aa801ab,-500,1,,'&Z:38%5g_qbJc
341,1aac0c04,-500,1,,ZV{cvq]:lHqx3
342,1ab946f8,-500,1,,u_K|4M*b*`%
343,1ac305d3,1000,3,,Hp==`esZRw{
344,1ac3c9dc,-500,1,,'CNAU\o7Aj
345,1ae57009,370,1,,"*MKB],^`+;"
346,1b070175,-500,2,,VM*0Fd$v.V
347,1b154804,-500,4,,V~>6Ov'i
348,1b258de6,1000,3,,7OmqMVU].
349,1b2bf1cb,310,1,,(ZH/Vl;%Q
350,1b403dcd,-500,1,,Q|Oh@|Kdl
351,1b6f270b,1000,4,,;{S:`ryT5@S
352,1b99e7b2,-500,1,,ywX'm6W>tOne
353,1ba30afa,-500,1,,b35otC6<
354,1bd583cd,-500,1,,"('Q[q{h`,'"
355,1c073809,516,1,,_TL+7_/aez>nKd
356,1c2dfc4c,-100,1,,N`6}s/fA
357,1c31ebf3,-500,1,,"]Z#j5il""UO<tO"
